Date,week,FluApos,FluBpos,FluPos,FluTest,RSVtest,RSVpos,tem_CA,pre_CA,hits_CA,GFT_Canada
2004-01-04,2004 W01,693,6,699,3691,3158,129,-21.69581548,0.050386905,33,3649
2004-01-11,2004 W02,632,0,632,3335,2754,152,-24.28091667,0.04077381,32,2866
2004-01-18,2004 W03,591,1,592,3160,2404,180,-23.83208333,0.070285714,26,2230
2004-01-25,2004 W04,465,0,465,3182,2483,262,-24.90905357,0.054130952,44,2155
2004-02-01,2004 W05,483,4,487,3284,2456,363,-25.54724405,0.05075,41,1699
2004-02-08,2004 W06,356,5,361,2977,2437,449,-18.31370238,0.048113095,37,1649
2004-02-15,2004 W07,273,1,274,2699,2138,387,-20.31557738,0.03827381,31,1700
2004-02-22,2004 W08,190,7,197,2812,2485,544,-19.64933333,0.039654762,24,1580
2004-02-29,2004 W09,145,17,162,2511,2299,489,-15.93299405,0.032119048,19,1427
2004-03-07,2004 W10,89,8,97,2459,2479,486,-19.02636905,0.05522619,19,1409
2004-03-14,2004 W11,58,12,70,2156,2271,527,-15.714375,0.055952381,14,1404
2004-03-21,2004 W12,24,13,37,1745,1899,365,-15.54692262,0.052666667,25,1424
2004-03-28,2004 W13,20,11,31,1683,1774,342,-14.39935714,0.067940476,18,1111
2004-04-04,2004 W14,10,9,19,1342,1534,269,-7.509922619,0.057642857,29,1178
2004-04-11,2004 W15,8,12,20,1528,1714,249,-7.075178571,0.045958333,20,1425
2004-04-18,2004 W16,10,5,15,1381,1599,212,-7.772035714,0.065255952,18,1163
2004-04-25,2004 W17,7,2,9,1260,1479,175,-5.364410714,0.072934524,11,1043
2004-05-02,2004 W18,6,2,8,1107,1252,109,-2.53397619,0.071375,13,786
2004-05-09,2004 W19,9,0,9,1103,1098,84,-2.857410714,0.092267857,15,895
2004-05-16,2004 W20,7,2,9,915,1058,62,-0.480363095,0.067309524,12,684
2004-05-23,2004 W21,1,2,3,650,843,44,1.667619048,0.074505952,10,743
2004-05-30,2004 W22,2,1,3,693,763,43,3.127833333,0.106321429,8,1041
2004-06-06,2004 W23,4,2,6,609,684,29,6.559238095,0.085291667,10,792
2004-06-13,2004 W24,1,1,2,575,663,32,7.426827381,0.112875,6,819
2004-06-20,2004 W25,1,0,1,537,610,11,9.225517857,0.105636905,6,755
2004-06-27,2004 W26,2,0,2,422,480,14,10.85529167,0.082410714,6,711
2004-07-04,2004 W27,0,0,0,444,487,11,11.70622024,0.107285714,6,752
2004-07-11,2004 W28,0,0,0,420,474,14,12.89347024,0.113422619,7,663
2004-07-18,2004 W29,1,0,1,429,453,10,14.51132738,0.099797619,6,699
2004-07-25,2004 W30,1,0,1,393,430,7,12.90374405,0.108815476,6,528
2004-08-01,2004 W31,0,0,0,286,299,2,12.92058333,0.108220238,4,631
2004-08-08,2004 W32,1,0,1,433,465,1,11.6721369,0.103916667,0,651
2004-08-15,2004 W33,2,0,2,374,389,0,12.29591071,0.095077381,7,810
2004-08-22,2004 W34,2,0,2,498,523,0,10.27808929,0.112208333,6,671
2004-08-29,2004 W35,0,0,0,404,428,4,8.240220238,0.12847619,8,755
2004-09-05,2004 W36,0,0,0,440,461,7,8.092053571,0.119458333,9,1014
2004-09-12,2004 W37,1,1,2,558,575,5,5.322940476,0.14239881,9,1042
2004-09-19,2004 W38,1,1,2,559,659,1,4.589571429,0.121333333,13,1407
2004-09-26,2004 W39,3,0,3,791,948,7,4.95497619,0.100517857,17,1656
2004-10-03,2004 W40,4,0,4,776,906,4,1.738261905,0.077428571,30,1544
2004-10-10,2004 W41,8,0,8,933,1005,6,1.341958333,0.095720238,40,1675
2004-10-17,2004 W42,2,0,2,1139,1184,33,-2.346178571,0.105083333,76,1924
2004-10-24,2004 W43,14,0,14,1108,1154,6,-5.416244048,0.076922619,57,2014
2004-10-31,2004 W44,15,0,15,1032,1062,13,-4.866345238,0.076339286,58,2207
2004-11-07,2004 W45,8,1,9,1039,1109,25,-8.210279762,0.083410714,51,2245
2004-11-14,2004 W46,27,0,27,1275,1367,25,-11.67604762,0.05122619,48,2237
2004-11-21,2004 W47,31,0,31,1273,1364,31,-9.322434524,0.0635,42,2156
2004-11-28,2004 W48,34,1,35,1299,1393,70,-13.46148214,0.071684524,31,2345
2004-12-05,2004 W49,81,1,82,1493,1505,94,-17.81677976,0.077803571,32,2457
2004-12-12,2004 W50,129,4,133,1503,1354,125,-20.24708929,0.061410714,26,2722
2004-12-19,2004 W51,278,2,280,1718,1312,164,-19.5663631,0.068071429,26,3099
2004-12-26,2004 W52,502,10,512,2660,1732,187,-24.17029762,0.07177381,27,3586
2005-01-02,2004 W53,730,8,738,4015,2632,271,-23.21679167,0.052619048,27,3761
2005-01-09,2005 W01,822,7,829,4297,2926,254,-21.18939286,0.039827381,27,3120
2005-01-16,2005 W02,801,23,824,3977,2672,235,-26.99160119,0.046875,27,3123
2005-01-23,2005 W03,948,17,965,4494,3076,381,-24.25683333,0.080428571,25,3276
2005-01-30,2005 W04,976,39,1015,4146,2836,361,-20.99411905,0.056339286,24,3392
2005-02-06,2005 W05,850,61,911,4838,3670,477,-18.885875,0.067184524,24,3526
2005-02-13,2005 W06,722,70,792,4788,4045,604,-18.79251786,0.052875,23,3274
2005-02-20,2005 W07,627,94,721,4381,3905,568,-19.80966071,0.041928571,34,3658
2005-02-27,2005 W08,647,163,810,4825,4303,721,-17.19002381,0.036875,39,3527
2005-03-06,2005 W09,385,151,536,3865,3695,601,-14.99172619,0.055625,38,2927
2005-03-13,2005 W10,327,197,524,3433,3314,539,-14.78797024,0.06677381,25,2786
2005-03-20,2005 W11,144,200,344,2498,2516,363,-12.49132738,0.03610119,21,2438
2005-03-27,2005 W12,92,239,331,2723,2764,369,-13.44620238,0.035553571,20,2370
2005-04-03,2005 W13,89,188,277,2374,2408,317,-7.561345238,0.082160714,11,2036
2005-04-10,2005 W14,39,122,161,1951,1995,226,-4.166738095,0.06335119,19,1715
2005-04-17,2005 W15,32,104,136,1891,1977,157,-4.566029762,0.067535714,12,1509
