Date,week,mor_rate,pre_CA,tem_CA
2019-01-05,2019 W01,18.3,0.02852381,-14.95146429
2019-01-12,2019 W02,16.6,0.04427381,-16.56797024
2019-01-19,2019 W03,16.3,0.025934524,-25.20320238
2019-01-26,2019 W04,16.3,0.036613095,-20.03180952
2019-02-02,2019 W05,16.7,0.045178571,-25.56849405
2019-02-09,2019 W06,15.6,0.016065476,-30.42491667
2019-02-16,2019 W07,15.5,0.026785714,-22.42784524
2019-02-23,2019 W08,16.6,0.014178571,-19.86347024
2019-03-02,2019 W09,15.8,0.016452381,-21.3997381
2019-03-09,2019 W10,16.6,0.010339286,-15.37078571
2019-03-16,2019 W11,15.1,0.017232143,-4.730857143
2019-03-23,2019 W12,13.4,0.009255952,-0.368452381
2019-03-30,2019 W13,16.1,0.019488095,-1.844809524
2019-04-06,2019 W14,14.2,0.058178571,-3.316910714
2019-04-13,2019 W15,14.5,0.027386905,0.988404762
2019-04-20,2019 W16,14.7,0.043130952,5.152321429
2019-04-27,2019 W17,13.8,0.06647619,4.466321429
2019-05-04,2019 W18,14.7,0.072827381,0.043505952
2019-05-11,2019 W19,14.9,0.057255952,5.418922619
2019-05-18,2019 W20,12,0.04460119,7.758220238
2019-05-25,2019 W21,15.4,0.048714286,10.92420833
2019-06-01,2019 W22,14.4,0.052625,13.04525595
2019-06-08,2019 W23,16,0.147339286,12.82952976
2019-06-15,2019 W24,16.9,0.125982143,14.25705952
2019-06-22,2019 W25,13.9,0.201178571,16.04884524
2019-06-29,2019 W26,13.8,0.152761905,15.41042262
2019-07-06,2019 W27,14.9,0.098125,14.94497024
2019-07-13,2019 W28,15.7,0.108011905,16.83530357
2019-07-20,2019 W29,14.8,0.102428571,17.44199405
2019-07-27,2019 W30,15,0.13810119,20.1107381
2019-08-03,2019 W31,15.4,0.072113095,19.59414881
2019-08-10,2019 W32,14.5,0.09422619,15.34852976
2019-08-17,2019 W33,14.6,0.193119048,14.10513095
2019-08-24,2019 W34,16.3,0.103684524,14.4357381
2019-08-31,2019 W35,13.9,0.089815476,12.43645238
2019-09-07,2019 W36,13.2,0.123702381,12.16667262
2019-09-14,2019 W37,14.1,0.097315476,10.86225595
2019-09-21,2019 W38,14.9,0.080285714,13.39170833
2019-09-28,2019 W39,15.4,0.08035119,5.78302381
2019-10-05,2019 W40,15.9,0.035190476,3.151720238
2019-10-12,2019 W41,14.1,0.028684524,0.852553571
2019-10-19,2019 W42,15.5,0.056934524,1.876708333
2019-10-26,2019 W43,15.8,0.04525,-1.53664881
2019-11-02,2019 W44,15.1,0.039571429,-6.023505952
2019-11-09,2019 W45,15.3,0.03197619,-11.0347381
2019-11-16,2019 W46,15.7,0.035113095,-10.34879762
2019-11-23,2019 W47,14,0.042494048,-5.858017857
2019-11-30,2019 W48,15.4,0.023452381,-10.77957143
2019-12-07,2019 W49,18,0.019791667,-12.76410714
2019-12-14,2019 W50,16.8,0.02039881,-24.58057143
2019-12-21,2019 W51,15.2,0.028416667,-15.16453571
2019-12-28,2019 W52,17.4,0.016541667,-12.3082381
2020-01-04,2020 W01,18.1,0.034172619,-10.47858929
2020-01-11,2020 W02,18.9,0.036267857,-21.6571369
2020-01-18,2020 W03,18.7,0.032642857,-27.56042262
2020-01-25,2020 W04,16.4,0.022892857,-10.11110119
2020-02-01,2020 W05,15.4,0.033839286,-7.513797619
2020-02-08,2020 W06,14.6,0.017797619,-16.76416667
2020-02-15,2020 W07,13.2,0.030928571,-18.64175595
2020-02-22,2020 W08,15.8,0.009940476,-13.4508631
