Date,week,mor_rate,pre_CA,tem_CA
2019-01-05,2019 W01,14.4,0.057285714,-19.40371429
2019-01-12,2019 W02,14,0.055720238,-22.20217857
2019-01-19,2019 W03,14.1,0.033607143,-25.43758333
2019-01-26,2019 W04,14,0.053303571,-23.75761905
2019-02-02,2019 W05,13.8,0.049309524,-26.1681131
2019-02-09,2019 W06,13.7,0.045761905,-25.04476786
2019-02-16,2019 W07,13.8,0.037684524,-22.24184524
2019-02-23,2019 W08,13.7,0.030875,-21.65763095
2019-03-02,2019 W09,13.5,0.024940476,-20.80416667
2019-03-09,2019 W10,13.5,0.023482143,-17.97926786
2019-03-16,2019 W11,13.3,0.053297619,-12.04252976
2019-03-23,2019 W12,13.2,0.031315476,-10.0052381
2019-03-30,2019 W13,13.1,0.043369048,-9.034202381
2019-04-06,2019 W14,13,0.06010119,-9.878738095
2019-04-13,2019 W15,13,0.053666667,-6.236815476
2019-04-20,2019 W16,13,0.071613095,-4.67727381
2019-04-27,2019 W17,12.7,0.078857143,-4.254958333
2019-05-04,2019 W18,13,0.054083333,-3.414720238
2019-05-11,2019 W19,12.7,0.065303571,1.657619048
2019-05-18,2019 W20,12.6,0.05589881,3.344964286
2019-05-25,2019 W21,12.5,0.073047619,5.463684524
2019-06-01,2019 W22,12.2,0.08275,6.630505952
2019-06-08,2019 W23,12.2,0.116714286,6.828964286
2019-06-15,2019 W24,12.3,0.126208333,9.699958333
2019-06-22,2019 W25,11.7,0.121589286,10.70153571
2019-06-29,2019 W26,11.8,0.121928571,12.21221429
2019-07-06,2019 W27,12.1,0.112946429,12.99592857
2019-07-13,2019 W28,12.1,0.12977381,12.57794048
2019-07-20,2019 W29,11.9,0.127720238,13.56391667
2019-07-27,2019 W30,11.9,0.1195,13.37333929
2019-08-03,2019 W31,11.6,0.106744048,13.38354167
2019-08-10,2019 W32,11.6,0.122196429,12.17007143
2019-08-17,2019 W33,11.8,0.124053571,11.23122619
2019-08-24,2019 W34,11.8,0.120857143,10.24722619
2019-08-31,2019 W35,12,0.11527381,9.455458333
2019-09-07,2019 W36,11.9,0.09775,7.588559524
2019-09-14,2019 W37,11.6,0.093095238,7.176321429
2019-09-21,2019 W38,11.7,0.112375,7.487535714
2019-09-28,2019 W39,12.5,0.116029762,3.374089286
2019-10-05,2019 W40,12.6,0.074470238,1.09960119
2019-10-12,2019 W41,12.3,0.09102381,0.33347619
2019-10-19,2019 W42,13,0.090934524,-2.066589286
2019-10-26,2019 W43,12.8,0.085690476,-3.555535714
2019-11-02,2019 W44,12.8,0.077690476,-6.46325
2019-11-09,2019 W45,13,0.062464286,-12.90980952
2019-11-16,2019 W46,13.1,0.078630952,-14.0155
2019-11-23,2019 W47,12.9,0.072154762,-10.93823214
2019-11-30,2019 W48,13.1,0.051202381,-13.50955952
2019-12-07,2019 W49,13.2,0.045315476,-18.12222619
2019-12-14,2019 W50,13.2,0.060678571,-21.76650595
2019-12-21,2019 W51,13,0.057142857,-20.35118452
2019-12-28,2019 W52,13.6,0.046345238,-16.68391071
2020-01-04,2020 W01,14.3,0.069178571,-17.73972024
2020-01-11,2020 W02,14.3,0.053863095,-24.78336905
2020-01-18,2020 W03,14.1,0.033285714,-26.18480952
2020-01-25,2020 W04,14.1,0.050434524,-18.43322024
2020-02-01,2020 W05,13.4,0.055934524,-17.55327381
2020-02-08,2020 W06,13.5,0.036303571,-21.68343452
2020-02-15,2020 W07,13.2,0.042297619,-22.88864286
2020-02-22,2020 W08,13,0.028053571,-19.3745119
2020-02-29,2020 W09,13.2,0.045107143,-18.10839881
2020-03-07,2020 W10,13.3,0.045166667,-18.30586905
2020-03-14,2020 W11,13,0.048220238,-18.28866667
2020-03-21,2020 W12,13.5,0.036952381,-14.29897619
2020-03-28,2020 W13,13.5,0.059779762,-12.71295833
2020-04-04,2020 W14,14.4,0.05752381,-12.52445238
2020-04-11,2020 W15,15,0.041255952,-8.693904762
2020-04-18,2020 W16,15.1,0.056214286,-7.588119048
2020-04-25,2020 W17,15.9,0.058303571,-6.120916667
2020-05-02,2020 W18,15.8,0.072785714,-2.03452381
2020-05-09,2020 W19,14.8,0.050160714,-2.040172619
2020-05-16,2020 W20,14,0.053583333,0.084166667
2020-05-23,2020 W21,13.6,0.085142857,3.846315476
2020-05-30,2020 W22,13.5,0.104589286,6.052464286
2020-06-06,2020 W23,12.8,0.11627381,5.615470238
2020-06-13,2020 W24,12,0.114267857,7.694154762
2020-06-20,2020 W25,12.2,0.125214286,11.52953571
2020-06-27,2020 W26,12.2,0.133940476,13.12204167
2020-07-04,2020 W27,11.9,0.137017857,14.05496429
2020-07-11,2020 W28,12.4,0.150571429,13.53058929
2020-07-18,2020 W29,12.2,0.144571429,13.55313095
2020-07-25,2020 W30,12.1,0.132369048,14.34328571
2020-08-01,2020 W31,12,0.092261905,15.22839286
2020-08-08,2020 W32,12.1,0.125797619,14.18609524
2020-08-15,2020 W33,12.4,0.12775,12.62516071
2020-08-22,2020 W34,12.4,0.117595238,11.5583631
2020-08-29,2020 W35,12,0.118720238,9.23235119
2020-09-05,2020 W36,12.5,0.114178571,7.866005952
2020-09-12,2020 W37,12.2,0.091779762,5.995428571
2020-09-19,2020 W38,12.5,0.062285714,4.088791667
2020-09-26,2020 W39,13.1,0.09760119,5.208327381
2020-10-03,2020 W40,13,0.088803571,3.518375
2020-10-10,2020 W41,13.2,0.101529762,0.672833333
2020-10-17,2020 W42,13.1,0.11502381,-2.619797619
2020-10-24,2020 W43,13.1,0.062488095,-6.481940476
2020-10-31,2020 W44,13.3,0.077017857,-9.036922619
2020-11-07,2020 W45,14.3,0.07839881,-10.7088631
2020-11-14,2020 W46,14,0.069755952,-12.00625595
2020-11-21,2020 W47,14,0.057202381,-13.97451786
2020-11-28,2020 W48,14.3,0.063452381,-13.98540476
2020-12-05,2020 W49,14.7,0.077303571,-10.6142619
2020-12-12,2020 W50,14.9,0.04889881,-14.89391667
2020-12-19,2020 W51,14.5,0.061119048,-21.41980952
2020-12-26,2020 W52,15.1,0.068988095,-19.18264286
2021-01-02,2020 W53,15.3,0.053404762,-18.18820833
2021-01-09,2021 W01,15.3,0.038357143,-15.88928571
2021-01-16,2021 W02,15.3,0.053964286,-13.844875
2021-01-23,2021 W03,15.2,0.046196429,-19.01520238
2021-01-30,2021 W04,15,0.020392857,-21.82926786
2021-02-06,2021 W05,14.6,0.052386905,-22.59332143
2021-02-13,2021 W06,13.8,0.025738095,-25.39707738
2021-02-20,2021 W07,13.7,0.033357143,-21.27557738
2021-02-27,2021 W08,13.4,0.051470238,-19.45619048
2021-03-06,2021 W09,13.5,0.0565,-16.61955952
2021-03-13,2021 W10,13,0.050654762,-14.69445833
2021-03-20,2021 W11,12.7,0.039238095,-13.00589881
2021-03-27,2021 W12,13,0.064791667,-12.79660119
2021-04-03,2021 W13,12.8,0.069964286,-11.9182381
2021-04-10,2021 W14,13.2,0.071077381,-6.369678571
2021-04-17,2021 W15,13,0.037464286,-4.423464286
2021-04-24,2021 W16,13,0.052291667,-4.626339286
2021-05-01,2021 W17,13.5,0.076803571,-2.514928571
2021-05-08,2021 W18,13.3,0.05947619,0.486613095
2021-05-15,2021 W19,13.1,0.054952381,1.654154762
2021-05-22,2021 W20,13.1,0.103011905,3.424892857
2021-05-29,2021 W21,12.1,0.094345238,3.979922619
2021-06-05,2021 W22,12.8,0.068279762,8.304738095
2021-06-12,2021 W23,12,0.086720238,8.727035714
